#1.detectorID 2.peakCenter 3.peakHeight 4.Nevents 5.bank
04397 3870 132.004176.0   22411  4
04398 3846 150.390707.0   23449  4
04399 3818 159.425037.0   24707  4
04400 3798 174.703570.0   25836  4
04401 3785 190.154195.0   27252  4
04402 3761 206.023280.0   28716  4
04403 3739 218.034403.0   30061  4
04404 3721 234.116807.0   31767  4
04405 3700 249.240197.0   32948  4
04406 3676 270.830568.0   34602  4
04407 3657 272.600137.0   35600  4
04408 3635 294.400628.0   37111  4
04409 3612 309.196679.0   38578  4
04410 3592 321.783324.0   39876  4
04411 3570 331.875295.0   40728  4
04412 3549 350.119416.0   42157  4
04413 3520 367.436322.0   43164  4
04414 3501 365.709472.0   43569  4
04415 3477 365.602297.0   43849  4
04416 3459 371.061239.0   44574  4
04417 3437 371.959034.0   44342  4
04418 3409 367.725365.0   44848  4
04419 3392 362.720868.0   44668  4
04420 3372 354.390744.0   44343  4
04421 3350 349.193777.0   44056  4
04422 3328 349.978921.0   44042  4
04423 3300 337.543067.0   43809  4
04424 3286 323.864166.0   43130  4
04425 3266 315.828580.0   42768  4
04426 3248 289.299966.0   41939  4
04427 3226 277.523819.0   41456  4
04428 3207 255.877281.0   40714  4
04429 3188 243.025942.0   40150  4
04430 3172 223.167582.0   39305  4
04431 3156 209.903530.0   38759  4
04432 3138 195.837368.0   38354  4
04433 3123 183.591414.0   37997  4
04434 3104 169.962292.0   37447  4
04435 3089 158.881075.0   36251  4
04436 3078 148.410474.0   36110  4
04437 3056 137.295897.0   36201  4
04438 3045 129.008935.0   34856  4
04504 4214 130.493260.0   26833  4
04505 4195 139.062533.0   27397  4
04506 4172 163.901455.0   29869  4
04507 4150 185.297774.0   32042  4
04508 4136 211.175510.0   34497  4
04509 4111 244.410032.0   37191  4
04510 4085 282.930912.0   40024  4
04511 4068 323.494137.0   44001  4
04512 4051 382.240770.0   48653  4
04513 4029 436.478341.0   53812  4
04514 4006 503.288636.0   59658  4
04515 3989 586.563963.0   66615  4
04516 3967 655.091394.0   74123  4
04517 3945 766.607686.0   82807  4
04518 3926 869.399843.0   92838  4
04519 3904 995.808542.0  103689  4
04520 3884 1110.664150.0  115382  4
04521 3868 1183.255751.0  123781  4
04522 3846 1434.584133.0  148952  4
04523 3824 1532.832592.0  156453  4
04524 3804 1698.565039.0  173951  4
04525 3782 1851.864347.0  190002  4
04526 3758 2074.497166.0  207184  4
04527 3742 2213.441243.0  223077  4
04528 3708 2524.896029.0  240614  4
04529 3698 2577.084411.0  256172  4
04530 3676 2739.828354.0  270955  4
04531 3655 2907.491314.0  284083  4
04532 3633 3082.427332.0  297989  4
04533 3612 3213.759881.0  307892  4
04534 3590 3356.159932.0  316422  4
04535 3567 3501.779345.0  326083  4
04536 3545 3563.050430.0  329073  4
04537 3522 3630.855420.0  332070  4
04538 3499 3724.308982.0  334411  4
04539 3477 3741.205025.0  332511  4
04540 3455 3772.349017.0  330860  4
04541 3432 3770.187745.0  327215  4
04542 3407 3676.655164.0  320575  4
04543 3381 3665.128467.0  315120  4
04544 3367 3642.964242.0  305549  4
04545 3334 3591.002485.0  293529  4
04546 3313 3467.566317.0  281855  4
04547 3288 3282.814906.0  267571  4
04548 3273 3168.260801.0  256361  4
04549 3260 2964.864561.0  241164  4
04550 3241 2781.607379.0  227905  4
04551 3219 2568.746437.0  214850  4
04552 3199 2379.218924.0  200845  4
04553 3181 2200.775160.0  189936  4
04554 3163 2007.252328.0  179262  4
04555 3145 1842.840278.0  169604  4
04556 3127 1674.233454.0  158750  4
04557 3111 1512.812494.0  149078  4
04558 3095 1400.710382.0  141441  4
04559 3080 1272.012297.0  133439  4
04560 3064 1166.189626.0  126057  4
04561 3050 1059.868282.0  118719  4
04562 3038 994.210028.0  113629  4
04563 3024 896.164577.0  106592  4
04564 3015 847.089843.0  102627  4
04565 3001 784.372478.0   97400  4
04566 2991 727.174025.0   92077  4
04567 2980 682.290900.0   88263  4
04568 2968 632.466261.0   84100  4
